"URN","LA (code)","EstablishmentNumber","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
116299,"850","3100","Marchwood Church of England Infant School","Local authority maintained schools","Primary","Church of England","10.5","New Forest","Good"
116300,"850","3101","Medstead Church of England Primary School","Local authority maintained schools","Primary","Church of England","7.7","East Hampshire","Good"
116301,"850","3102","Meonstoke Church of England Infant School","Local authority maintained schools","Primary","Church of England","4.2","Winchester","Outstanding"
116302,"850","3110","Netley Marsh Church of England Infant School","Local authority maintained schools","Primary","Church of England","3.4","New Forest","Good"
116303,"850","3112","Nursling Church of England Primary School","Local authority maintained schools","Primary","Church of England","16.3","Test Valley","Good"
116304,"850","3118","Otterbourne Church of England Primary School","Local authority maintained schools","Primary","Church of England","2.5","Winchester","Outstanding"
116305,"850","3119","Overton Church of England Primary School","Local authority maintained schools","Primary","Church of England","7.9","Basingstoke and Deane","Outstanding"
116306,"850","3120","Oakley Church of England Junior School","Local authority maintained schools","Primary","Church of England","3.2","Basingstoke and Deane","Good"
116307,"850","3124","Pennington Church of England Junior School","Local authority maintained schools","Primary","Church of England","31.5","New Forest","Requires improvement"
116308,"850","3126","Preston Candover Church of England Primary School","Local authority maintained schools","Primary","Church of England","1.6","Basingstoke and Deane","Outstanding"
116309,"850","3132","Ringwood Church of England Infant School","Local authority maintained schools","Primary","Church of England","9.7","New Forest","Outstanding"
116310,"850","3136","Rowlands Castle St John's Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","12.9","East Hampshire","Good"
116311,"850","3137","Rownhams St John's Church of England Primary School","Local authority maintained schools","Primary","Church of England","6.3","Test Valley","Good"
116312,"850","3138","Ropley CofE Primary School","Local authority maintained schools","Primary","Church of England","3.2","East Hampshire","Good"
116313,"850","3142","Sarisbury Church of England Junior School","Local authority maintained schools","Primary","Church of England","9.1","Fareham","Outstanding"
116314,"850","3143","St John the Baptist Church of England Primary School","Local authority maintained schools","Primary","Church of England","9.3","Winchester","Good"
116315,"850","3144","Sherborne St John Church of England Primary School","Local authority maintained schools","Primary","Church of England","1.7","Basingstoke and Deane","Good"
116316,"850","3146","South Baddesley Church of England Primary School","Local authority maintained schools","Primary","Church of England","5","New Forest","Good"
116317,"850","3147","Sparsholt Church of England Primary School","Local authority maintained schools","Primary","Church of England","7.4","Winchester","Outstanding"
116318,"850","3149","St Luke's Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.5","New Forest","Outstanding"
116319,"850","3150","Steep Church of England Voluntary Controlled Primary School","Local authority maintained schools","Primary","Church of England","6.1","East Hampshire","Good"
116320,"850","3156","Twyford St Mary's Church of England Primary School","Local authority maintained schools","Primary","Church of England","8.3","Winchester","Good"
